2.6651 	WARNING 	We strongly recommend you activate the PTB sound engine in PsychoPy prefs as the preferred audio engine. Its timing is vastly superior. Your prefs are currently set to use ['sounddevice', 'PTB', 'pyo', 'pygame'] (in that order).
73.0923 	DATA 	Keypress: right
73.1057 	EXP 	fixation: autoDraw = False
73.1057 	EXP 	grating: autoDraw = False
73.1059 	EXP 	window1: recordFrameIntervals = False
74.1086 	EXP 	fixation: autoDraw = True
75.0946 	EXP 	grating: autoDraw = True
75.0946 	EXP 	grating: tex = 'sin'
75.1109 	EXP 	fixation: autoDraw = False
75.3956 	EXP 	grating: autoDraw = False
75.5154 	EXP 	window1: recordFrameIntervals = False
75.5177 	DATA 	Keypress: right
75.5291 	EXP 	fixation: autoDraw = False
75.5291 	EXP 	grating: autoDraw = False
75.5293 	EXP 	window1: recordFrameIntervals = False
76.5318 	EXP 	fixation: autoDraw = True
77.5174 	EXP 	grating: autoDraw = True
77.5174 	EXP 	grating: tex = 'sin'
77.5341 	EXP 	fixation: autoDraw = False
77.8187 	EXP 	grating: autoDraw = False
77.9036 	EXP 	window1: recordFrameIntervals = False
77.9054 	DATA 	Keypress: right
77.9187 	EXP 	fixation: autoDraw = False
77.9187 	EXP 	grating: autoDraw = False
77.9189 	EXP 	window1: recordFrameIntervals = False
78.9211 	EXP 	fixation: autoDraw = True
79.9074 	EXP 	grating: autoDraw = True
79.9074 	EXP 	grating: tex = 'sin'
79.9237 	EXP 	fixation: autoDraw = False
80.2078 	EXP 	grating: autoDraw = False
80.2780 	EXP 	window1: recordFrameIntervals = False
80.2808 	DATA 	Keypress: left
80.2922 	EXP 	fixation: autoDraw = False
80.2922 	EXP 	grating: autoDraw = False
80.2924 	EXP 	window1: recordFrameIntervals = False
81.2942 	EXP 	fixation: autoDraw = True
82.2803 	EXP 	grating: autoDraw = True
82.2803 	EXP 	grating: tex = 'sin'
82.2968 	EXP 	fixation: autoDraw = False
82.5811 	EXP 	grating: autoDraw = False
82.6840 	EXP 	window1: recordFrameIntervals = False
82.6857 	DATA 	Keypress: left
82.6981 	EXP 	fixation: autoDraw = False
82.6981 	EXP 	grating: autoDraw = False
82.6983 	EXP 	window1: recordFrameIntervals = False
83.7007 	EXP 	fixation: autoDraw = True
84.6870 	EXP 	grating: autoDraw = True
84.6870 	EXP 	grating: tex = 'sin'
84.7039 	EXP 	fixation: autoDraw = False
84.9877 	EXP 	grating: autoDraw = False
85.1058 	EXP 	window1: recordFrameIntervals = False
85.1075 	DATA 	Keypress: right
85.1210 	EXP 	fixation: autoDraw = False
85.1210 	EXP 	grating: autoDraw = False
85.1211 	EXP 	window1: recordFrameIntervals = False
86.1239 	EXP 	fixation: autoDraw = True
87.1099 	EXP 	grating: autoDraw = True
87.1099 	EXP 	grating: tex = 'sin'
87.1268 	EXP 	fixation: autoDraw = False
87.4110 	EXP 	grating: autoDraw = False
87.6295 	EXP 	window1: recordFrameIntervals = False
87.6313 	DATA 	Keypress: right
87.6444 	EXP 	fixation: autoDraw = False
87.6444 	EXP 	grating: autoDraw = False
87.6446 	EXP 	window1: recordFrameIntervals = False
88.6474 	EXP 	fixation: autoDraw = True
89.6335 	EXP 	grating: autoDraw = True
89.6335 	EXP 	grating: tex = 'sin'
89.6503 	EXP 	fixation: autoDraw = False
89.9344 	EXP 	grating: autoDraw = False
90.1198 	EXP 	window1: recordFrameIntervals = False
90.1214 	DATA 	Keypress: right
90.1345 	EXP 	fixation: autoDraw = False
90.1345 	EXP 	grating: autoDraw = False
90.1346 	EXP 	window1: recordFrameIntervals = False
91.1371 	EXP 	fixation: autoDraw = True
92.1234 	EXP 	grating: autoDraw = True
92.1234 	EXP 	grating: tex = 'sin'
92.1401 	EXP 	fixation: autoDraw = False
92.4240 	EXP 	grating: autoDraw = False
92.6785 	EXP 	window1: recordFrameIntervals = False
92.6807 	DATA 	Keypress: right
92.6913 	EXP 	fixation: autoDraw = False
92.6913 	EXP 	grating: autoDraw = False
92.6915 	EXP 	window1: recordFrameIntervals = False
93.6939 	EXP 	fixation: autoDraw = True
94.6802 	EXP 	grating: autoDraw = True
94.6802 	EXP 	grating: tex = 'sin'
94.6967 	EXP 	fixation: autoDraw = False
94.9810 	EXP 	grating: autoDraw = False
95.1523 	EXP 	window1: recordFrameIntervals = False
95.1546 	DATA 	Keypress: right
